,Gold_Close,Gold_Volume,Oil_Close,Oil_Volume,Gas_Close,Gas_Volume,VIX,FED,PMI,Michi,Unemploy
2017-08-28,1309.699951171875,145.0,51.88999938964844,23706.0,2.924999952316284,48077.0,11.319999694824219,1.16,53.3,96.8,4.4
2017-08-29,1313.0999755859375,1178.0,52.0,20366.0,2.9609999656677246,106590.0,11.699999809265137,1.16,53.3,96.8,4.4
2017-08-30,1308.0999755859375,1178.0,50.86000061035156,20366.0,2.938999891281128,106590.0,11.220000267028809,1.16,53.3,96.8,4.4
2017-08-31,1316.199951171875,373.0,52.380001068115234,9938.0,3.0399999618530273,96502.0,10.59000015258789,1.16,53.3,96.8,4.4
2017-09-01,1324.5,313.0,52.31999969482422,43495.0,3.069999933242798,241062.0,10.130000114440918,1.15,52.8,95.1,4.3
2017-09-02,1324.5,313.0,52.31999969482422,43495.0,3.069999933242798,241062.0,10.130000114440918,1.15,52.8,95.1,4.3
2017-09-03,1324.5,313.0,52.31999969482422,43495.0,3.069999933242798,241062.0,10.130000114440918,1.15,52.8,95.1,4.3
2017-09-04,1324.5,313.0,52.31999969482422,43495.0,3.069999933242798,241062.0,10.130000114440918,1.15,52.8,95.1,4.3
2017-09-05,1339.199951171875,39.0,53.380001068115234,24873.0,2.9719998836517334,179193.0,12.229999542236328,1.15,52.8,95.1,4.3
2017-09-06,1333.9000244140625,20.0,54.20000076293945,30783.0,3.0,145052.0,11.630000114440918,1.15,52.8,95.1,4.3
2017-09-07,1345.0999755859375,26.0,54.4900016784668,34793.0,2.9809999465942383,137126.0,11.550000190734863,1.15,52.8,95.1,4.3
2017-09-08,1346.0,37.0,53.779998779296875,28912.0,2.890000104904175,204842.0,12.119999885559082,1.15,52.8,95.1,4.3
2017-09-09,1346.0,37.0,53.779998779296875,28912.0,2.890000104904175,204842.0,12.119999885559082,1.15,52.8,95.1,4.3
2017-09-10,1346.0,37.0,53.779998779296875,28912.0,2.890000104904175,204842.0,12.119999885559082,1.15,52.8,95.1,4.3
2017-09-11,1331.0,9.0,53.84000015258789,30263.0,2.950000047683716,164090.0,10.729999542236328,1.15,52.8,95.1,4.3
2017-09-12,1328.0,15.0,54.27000045776367,22720.0,3.000999927520752,248747.0,10.579999923706055,1.15,52.8,95.1,4.3
2017-09-13,1323.4000244140625,16.0,55.15999984741211,24868.0,3.058000087738037,191192.0,10.5,1.15,52.8,95.1,4.3
2017-09-14,1324.699951171875,316.0,55.470001220703125,27549.0,3.069999933242798,204316.0,10.4399995803833,1.15,52.8,95.1,4.3
